Tweet,Sentiment
"Make money even when BTC is going down! 

 https://t.co/5KJ8kOSUoR

Up to 100x Leverage!

$ICN $CVC $SUB $ENG https://t.co/zeZSw2nMT6",neutral
"Welp. ""Lookin forward to the Christmas's"" 
- Cryogenically Frozen Longs  
#Bitcoin #BTC #ALTS",positive
Gabe (Crypto):  $BTC moving safely into the channel now. https://t.co/869ZOtifcq,neutral
"462 #Bitcoin mined since last tweet.
 
 It represents $3,392,004 (At $7,342 per $BTC #BTC) 
 New Supply: 16,956,837 
 Progress: 80.75 %",neutral
Gabe (Crypto):  $BTC moving safely into the channel now.,neutral
"@XformationDan Mybit, hacken, OnG, nolimitcoin, syscoin, EOS, BTC, Ethereum, SIG, BAT, CIVIC, Populous, Bitcoin Cas https://t.co/RkuoqhVeHB",neutral
@PaponHew @FerhattYlcnn @QlinkMobi @NEOnewstoday awesome! thank you very much! I just saw 2 BTC in my wallet! I cant belive it!,positive
Time to buy BCN for : 0.0000003116 BTC in HitBTC Date: 2018-04-04 07:11:18,neutral
@rogerkver Hi Roger ver please kindly help me out here I invested on your cloud mining company last year and about https://t.co/r00nGto5Tk,neutral
"HYPE Airdrop

Bonus 10 (~20$) Reference 5 (~10$) HYPE Token

Join Form: https://t.co/FA4DG940lW

Enter ETH https://t.co/7rL1xeI8rK",neutral
@austens_martin There goes BTC.,neutral
#xvg #verge is unstoppable on #binance :)  couldnt get any better in crypto right now :) watch out btc xvg is comin https://t.co/btUIl6zZHT,neutral
There is incoming strong data that Million$ of $$$'s worth of #BTC #Bitcoin is being bought rapidly on the OTC mark https://t.co/N2sT3AHZQe,neutral
"Binance is TEMPORARILY accepting new users! HURRY! 

 https://t.co/1ff7Uv4eqE 

Thank me later 

$POWR $CVC https://t.co/x9grPA53Uy",positive
@el33th4xor @AlexPickard @PeterRizun @SeatacBCH @realJohnnyBCH @Luwhi @whaleclubcom Peter presented at Satoshi's Vi https://t.co/CpR2nrGwPB,neutral
@IncomeSharks Btc futures like they said they will tame BTC .  Futures whr only allowed cuz they must have assured https://t.co/ySyAwg15CR,neutral
Come to join a good project. Be rich with us #BTC #ETH #Timebox,positive
Only safe bet in down turn bear market $xvg #HODL #Vergecurrency  #coinmarketcap sell your all position and get in https://t.co/b7c2VnM2W4,neutral
"If you feel threatened by new information, that's a sign of epinephrine from stress. Be cautious of stress triggers https://t.co/thorMqd6Xa",neutral
"Bitcoin BTC Current Price:
$7.334,440
1 Hour: -0.23 % | 24 Hours: 0.21 % | 7 Days: -7.47 %
#btc #bitcoin",negative
Check out the #Neblio #whitepaper today: https://t.co/ThrtytfoRi #NeblioAPISuite #NTP1 #NeblioOrion #NEBL #staking https://t.co/VaXD9bUsaj,neutral
"Long/Short Bitcoin moves with up to 100x Leverage at Bitmex! 

Get a 10% Fee Discount:

 https://t.co/g7dI85J6J3",neutral
"don't miss out on registering on Binance, before they close registrations again

 https://t.co/Nz7cto0Ges

 $BTC https://t.co/DK8l33aHRM",neutral
"The CryptoKami Public Presale is offficialy Sold Out
CryptoKami is excited to confirm that weve received your ETH/ https://t.co/DlwWz9aRXz",positive
Canadians Can Now Buy Bitcoin With a Credit Card From an App - https://t.co/2E24y2eiQq $BTC #trading #crypto #blockchain,neutral
@highsidecrypto @LN_Master_Hub @ValiumMm8 @spudowiar @verretor @rogerkver @el33th4xor The development is even more https://t.co/tBUGVrW4sy,neutral
Most interesting movement of the hour:  #SteemDollars Trade volume changed -28.47%  with BTC price -2.11%,neutral
"@GreenGranda Yes, forecasts for #stratis looking very promising, only btc must remain calm :)",positive
Join now https://t.co/TDr9DOcYjV  #btc ##follow #ICO #bounty #earnings #Airdrop,neutral
Nexus' price is: $1.52 or 0.00020785 BTC,neutral
#xvg #vergecoin shaping up for another push over 1000 sats #vergefam #btc #trx #crypto https://t.co/Yzy6gx24zc,neutral
"@paul_btc Of course it can be diluted. It's already happened with bcash. Substitute goods, like it or not.",negative
"Predictable BTC patterns by trader Mr_Sinister  published April 03, 2018 https://t.co/AXIG8caMsW https://t.co/iqPNGo4flK",neutral
@Cernovich No it isnt. Wanna bet? Loser pays in BTC.,negative
Canadians Can Now Buy Bitcoin With a Credit Card From an App https://t.co/XkvN9DXRd7 #bitcoin #bitcoinnews #btc #cryptocurrency,neutral
Ethereum Price Technical Analysis  ETH/USD To GainTraction? https://t.co/wAzLQDBTQZ https://t.co/K2ngSTeckV,neutral
"#PhnxToken pre-registration has started. Join now and get your free 300 tokens. 
https://t.co/WeCLmMF1cM Share your https://t.co/MY7qoKjZhn",neutral
Fintech Firms Stock Drops By 30 Percent Following Announcement of SECInvestigation https://t.co/wbqqpBAjvj https://t.co/zlTQNp9DHk,neutral
